ICS 214a Unit Log,Incident Name,Date Prepared,Time Prepared,
,forVerification,7/4/2020,0:00,
Unit Name Designator,Unit Leader: Name,Position,Operational Period,
,Lowell Papa,Field Operator,7/4/2020_0600 to 7/5/2020_0600,
,,,,
Date,Start Time,End Date,End Time,Activity
7/4/2020,6:00,,18:29,01 Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
6/16/2020,17:29,,18:29,02 Prep for Dinner. Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
6/16/2020,0:00,,22:00,03 Watching SeaChange Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
6/16/2020,21:21,,22:00,04 Still watching SeaChange Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
6/17/2020,15:02,,16:00,05 Listening to Maureen Play Bridge On-Line Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
6/17/2020,13:00,6/19/2020,23:20,06 Experimenting Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
6/19/2020,18:23,,,07 Prep for Dinner on Friday Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
6/16/2020,17:29,,18:29,08 Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
6/16/2020,17:29,,18:29,09 Prep for Dinner. Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
6/16/2020,21:18,,22:00,10 Watching SeaChange Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
6/16/2020,21:21,,22:00,11 Still watching SeaChange Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
6/17/2020,15:02,,16:00,12 Listening to Maureen Play Bridge On-Line Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
6/17/2020,13:00,6/19/2020,23:20,13 Experimenting Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
6/19/2020,18:23,,,14 Prep for Dinner on Friday Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
6/16/2020,17:29,,18:29,15 Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
6/16/2020,17:29,,18:29,16 Prep for Dinner. Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
6/16/2020,21:18,,22:00,17 Watching SeaChange Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
6/16/2020,21:21,,22:00,18 Still watching SeaChange Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
6/17/2020,15:02,,16:00,19 Listening to Maureen Play Bridge On-Line Now is the time for all good people to come to the aid of the party.  Now the red brown fox is jumping over the black and blue dog.
